"FECHA","TMAX","TMIN","TMED","PRECIP"
"2020-01-01","28","19","24.299999237","0"
"2020-01-02","27.700000763","18","23.799999237","0"
"2020-01-03","29.299999237","18.5","25.399999619","0"
"2020-01-04","29.700000763","16","25.5",\N
"2020-01-05","31.100000381",\N,\N,"9"
"2020-01-06","25.700000763","16",\N,"0"
"2020-01-07","29.600000381","11.5","24.299999237","0"
"2020-01-08","32.5","14.5","27.100000381","14"
"2020-01-09","28.200000763","18","23.700000763","17"
"2020-01-10","28.700000763","19","24","0"
"2020-01-11","31.299999237","20.5","27","0"
"2020-01-12","31.600000381","23.399999619","28.399999619","21"
"2020-01-13","33","21.5","28","0"
"2020-01-14","30.100000381","21.5","27.200000763","17"
"2020-01-15","27.200000763","20.200000763","22.200000763","9"
"2020-01-16","26.700000763","13","21.5","0"
"2020-01-17","27","16.799999237","23","0"
"2020-01-18","29.5","16.200000763","24.200000763","0"
"2020-01-19","33.799999237","21.100000381","29","5"
"2020-01-20","29.200000763","24.399999619","25.299999237","2"
"2020-01-21","28.200000763","22.799999237","24.899999619","0"
"2020-01-22","29.399999619","20.299999237","25.5","0"
"2020-01-23","31.299999237","21","26.899999619","0"
"2020-01-24","32.099998474","17.299999237","27.200000763","0"
"2020-01-25","34.400001526","19.600000381","28","0"
"2020-01-26","34.299999237","15.800000191","26.799999237","0"
"2020-01-27","27.200000763","17","22.600000381","0"
"2020-01-28","32.299999237","14.600000381","24.799999237","0"
"2020-01-29","25.100000381","20.100000381","21.899999619","0.5"
"2020-01-30","26","14.199999809","20.200000763","0"
"2020-01-31","29.700000763","9.5","22.799999237",\N
"2020-02-01","31.200000763",\N,\N,"0"
"2020-02-02","33.700000763","15.5","27.700000763","0"
"2020-02-03","35","16.799999237","29.5","0"
"2020-02-04","35.700000763","19.5","29.899999619","22"
"2020-02-05","29","18.600000381","21.399999619","16"
"2020-02-06","28.700000763","19","25.299999237","0"
"2020-02-07","29.200000763","22","24.700000763","0"
"2020-02-08","30.100000381","22.299999237",\N,"0"
"2020-02-09","25.5","17.799999237","21.799999237","0"
"2020-02-10","25.899999619","14","21","0"
"2020-02-11","28","14.5","21.799999237","0"
"2020-02-12","30.100000381","16.200000763","24.100000381","0"
"2020-02-13","32.200000763","18.5","26.399999619","7"
"2020-02-14","30.200000763","22","26.100000381","0"
"2020-02-15","33.099998474","19.799999237","27.600000381","0"
"2020-02-16",\N,"20.5",\N,\N
"2020-02-17","32",\N,\N,"6"
"2020-02-18","25.899999619","14.5","19.700000763","0"
"2020-02-19","29.399999619","10","24.200000763","0"
"2020-02-20","24.200000763","15.5","19.299999237","0"
"2020-02-21","23.200000763","11.5","18.5","0"
"2020-02-22","25.5","6.6999998093","19.700000763","0"
"2020-02-23","26.899999619","9.5","20.100000381","0"
"2020-02-24","30.299999237","13.300000191","23.700000763","2"
"2020-02-25","29.100000381","17.299999237","21","0"
"2020-02-26","27.799999237","10","20.5","0"
"2020-02-27","30.299999237","9.3999996185","23.299999237","0"
"2020-02-28","32.700000763","12.300000191","26.299999237","0"
"2020-02-29","33.5","17.5",\N,"0"
"2020-03-01","33.299999237","20.600000381","28.200000763","0"
"2020-03-02","33","17.200000763","26.5","0"
"2020-03-03","33.200000763","14","26.399999619","0"
