"FECHA","TMAX","TMIN","TMED","PRECIP"
"2020-01-01","31.100000381","19","25.799999237","0"
"2020-01-02","31","16.5","23.899999619","0"
"2020-01-03",\N,"16","25","0"
"2020-01-04","31","17.299999237","26.399999619","0"
"2020-01-05","32.099998474","18","28.299999237","0"
"2020-01-06","27.600000381","17","21.399999619","0"
"2020-01-07","30.399999619","12.5","26.299999237","0"
"2020-01-08","32.400001526","15","28.700000763","0"
"2020-01-09","32.599998474","21.5",\N,"5"
"2020-01-10","26.700000763","20","23.100000381","0"
"2020-01-11","31.899999619","19.299999237","27.700000763","0"
"2020-01-12","33.200000763","21.700000763","29.200000763","0"
"2020-01-13","34.599998474","20","28.799999237","0"
"2020-01-14","36","23.299999237","31.899999619","0"
"2020-01-15","32.099998474","21.200000763","26.600000381","9"
"2020-01-16","26.700000763","13","21.899999619","0"
"2020-01-17","28.5","17","23.700000763","0"
"2020-01-18","31.799999237","16.299999237","26","0"
"2020-01-19","35.799999237","22","30.600000381","78"
"2020-01-20","28.299999237","21.299999237","24.100000381","0"
"2020-01-21","28.200000763","23","25.899999619","0"
"2020-01-22","30.700000763","20","26.5","0"
"2020-01-23","30.799999237","20.100000381","27.200000763","0"
"2020-01-24","32.299999237","19.5","27.200000763","0"
"2020-01-25","33.799999237","20.5","28.799999237","0"
"2020-01-26","34.900001526","23","29.600000381",\N
"2020-01-27","30.399999619",\N,\N,"0"
"2020-01-28","31.200000763","14","26.200000763","0"
"2020-01-29","25.299999237","19.5","22.399999619","10"
"2020-01-30","25.600000381","17","20.799999237","0"
"2020-01-31","29.799999237","12.399999619","24.299999237","0"
"2020-02-01","31.5","18","27.5","0"
"2020-02-02","34","17","28.299999237","0"
"2020-02-03","35","19.299999237","29.700000763","0"
"2020-02-04","35.5","19","30.700000763","18"
"2020-02-05","30.100000381","19.600000381","21.799999237","24"
"2020-02-06","29.200000763","19","25.200000763","0"
"2020-02-07","30.600000381","21","27.200000763","2"
"2020-02-08","30","20","26","0"
"2020-02-09","24.399999619","13.899999619",\N,"0"
"2020-02-10","27.899999619","13","22","0"
"2020-02-11","29.299999237","12.5","23.299999237","0"
"2020-02-12","31.200000763","14.5","25.899999619","0"
"2020-02-13","32.599998474","18","28.299999237","24"
"2020-02-14","30.299999237","21","26.5","0"
"2020-02-15","32.799999237","20.5","28.399999619","0"
"2020-02-16","34.599998474","21","29.200000763","23"
"2020-02-17","32.400001526","22","26.799999237","25"
"2020-02-18","26.200000763","16","21","0"
"2020-02-19","28.200000763","13.399999619","23.399999619","0"
"2020-02-20","24.799999237","14.800000191","19.399999619","0"
"2020-02-21","24","11","18.299999237","0"
"2020-02-22","25.100000381","9","19.100000381","0"
"2020-02-23","27.600000381","13.5","22.600000381","0"
"2020-02-24","30.5","15.600000381","25","0.8999999762"
"2020-02-25","24.100000381","17.5","20.700000763","0"
"2020-02-26","28","13","22","0"
"2020-02-27","29.5","13","24.5","0"
"2020-02-28","31.600000381","16.5","26.799999237","0"
"2020-02-29","32.700000763","18","28","0"
"2020-03-01","34.099998474","18","28.200000763","0"
"2020-03-02","32.5","15.5","27","0"
"2020-03-03","32.799999237","15","27.899999619","0"
"2020-03-04","33.599998474","16","26.700000763","0"
"2020-03-05","33.099998474","16","28.200000763","0"
"2020-03-06","32.099998474","17.5","26.700000763","0"
"2020-03-07","33","16","27.200000763","0"
"2020-03-08","34.400001526","25","30.299999237","0"
"2020-03-09","35.599998474","21.5","29.899999619","0"
"2020-03-10","35.799999237","18.399999619","28.700000763","0"
"2020-03-11","34.799999237","18","27.700000763","0"
"2020-03-12","29.700000763","18.5","25","0"
"2020-03-13","36.599998474","21","30.100000381","0"
"2020-03-14","36.099998474","24.200000763","29.5","2"
"2020-03-15","24.700000763","17.799999237","18.399999619","5"
"2020-03-16","28.5","15.5","23","0"
"2020-03-17",\N,"18",\N,"92"
"2020-03-18","25.100000381","16.5","20.399999619","0"
"2020-03-19","27.600000381","14","21.600000381",\N
"2020-03-20",\N,\N,\N,\N
"2020-03-21",\N,\N,\N,\N
"2020-03-22",\N,\N,\N,\N
"2020-03-23",\N,\N,\N,\N
"2020-03-24",\N,\N,\N,\N
"2020-03-25",\N,\N,\N,\N
"2020-03-26",\N,\N,\N,"7"
"2020-03-27","24.100000381","17","19.600000381","10"
"2020-03-28","26.600000381","18.5","23","0"
"2020-03-29","28.100000381","18","24.200000763","0"
"2020-03-30","31.100000381","17","24.399999619","2"
"2020-03-31","30.5","20.700000763","26","0"
"2020-04-01","26.100000381","21","23.399999619","1"
"2020-04-02","22.5","15.699999809","18.399999619","0"
"2020-04-03","24.600000381","9.1000003815","18.299999237","0"
"2020-04-04","26.600000381","11.100000381","21.299999237","0"
"2020-04-05","28.899999619","13.899999619","23.399999619","0"
"2020-04-06","25.200000763","10.800000191","18.700000763","0"
"2020-04-07","21.799999237","5.1999998093","15","0"
"2020-04-08","20.899999619","7.5","15.600000381","0"
"2020-04-09","22.899999619","8","16.799999237","0"
"2020-04-10","24.799999237","8.6999998093","18.299999237","0"
"2020-04-11","25.799999237","10.199999809","19.100000381","0"
"2020-04-12","27.200000763","11","20.600000381","10"
"2020-04-13","20","14","16.399999619","0"
"2020-04-14",\N,"7.8000001907",\N,"0"
"2020-04-15","24.200000763","7","17","0"
"2020-04-16","25.799999237","8","18.799999237","0"
"2020-04-17","26.399999619","9.3999996185","19.799999237","0"
"2020-04-18","28.100000381","12.5","20.399999619","0"
"2020-04-19","30.100000381","13","21.799999237","0"
"2020-04-20","31.100000381","12","22.799999237","0"
"2020-04-21","31.100000381","13.5","23.200000763","0"
"2020-04-22","32.099998474","14","24.399999619","0"
"2020-04-23","30.200000763","15.5","24","0"
"2020-04-24","32.400001526","20.399999619","26.299999237","0"
"2020-04-25","28.399999619","19.200000763","22.299999237","9"
"2020-04-26","21.700000763","17","19.600000381","0"
"2020-04-27","21.600000381","18.100000381","20.100000381","27"
"2020-04-28","22.399999619","15.899999619","19.100000381","1"
"2020-04-29","24.100000381","8.5","16.200000763","0"
"2020-04-30","25.100000381","13","19.200000763","0"
"2020-05-01","26.600000381","10.5","19.399999619","0"
"2020-05-02","22.5","9.5","17.899999619","0"
"2020-05-03","22.700000763","13.5","18","0"
"2020-05-04","21.600000381","13.5","18.100000381","0"
"2020-05-05","19.200000763","11.399999619","14.800000191","0"
"2020-05-06","17.200000763","5","11.100000381","0"
