"FECHA","TMAX","TMIN","TMED","PRECIP"
"2020-01-01","30.299999237","21.799999237","26.5","0"
"2020-01-02","29.700000763","22.200000763","25.299999237","0"
"2020-01-03","29.700000763","20.600000381","24.600000381","0"
"2020-01-04","30.899999619","19.200000763","25","0"
"2020-01-05","34","19.5","26.600000381","2"
"2020-01-06","27.600000381","18.399999619","21.600000381","0"
"2020-01-07","29.399999619","15.199999809","22.600000381","0"
"2020-01-08","34.799999237","16.399999619","26.700000763","0"
"2020-01-09","35.299999237","26.299999237","29.799999237","0"
"2020-01-10","34.599998474","24.799999237","29","0"
"2020-01-11","33.200000763","21.700000763","27.200000763","0"
"2020-01-12","33.799999237","23","28.100000381","0"
"2020-01-13","35.900001526","23.5","30.100000381","0"
"2020-01-14","36.799999237","24.100000381","30.100000381","2"
"2020-01-15","38","22.299999237","26.5","10"
"2020-01-16","28.200000763","21.600000381","23.200000763","0"
"2020-01-17","28.799999237","15.300000191","23","0"
"2020-01-18","32.400001526","19.899999619","26","0"
"2020-01-19","38.5","24.399999619","30.299999237","0"
"2020-01-20","29.899999619","23.799999237","26.399999619","51"
"2020-01-21","26.5","23.399999619","24.100000381","6"
"2020-01-22","30.5","22.799999237","25","0"
"2020-01-23","30.600000381","20.200000763","25.799999237","0"
"2020-01-24","31.5","21","26.200000763","0"
"2020-01-25","34.200000763","19.600000381","27.399999619","0"
"2020-01-26","36.700000763","22.399999619","29","0"
"2020-01-27","33.200000763","22.899999619","27.200000763","0"
"2020-01-28","33","20.799999237","27.200000763","7"
"2020-01-29","30.799999237","21.399999619","25.600000381",\N
"2020-01-30","26.5","20.399999619",\N,\N
"2020-01-31","30.399999619","15.600000381",\N,\N
"2020-02-01","31.5","17.5","25.399999619","0"
"2020-02-02","33.299999237","19.5","27.399999619","0"
"2020-02-03","34.099998474","21.299999237","28.200000763","0"
"2020-02-04","36.5","24.200000763","29.799999237","0"
"2020-02-05","36.400001526","23.100000381","28.600000381","46"
"2020-02-06","33.200000763","23","27.600000381","0"
"2020-02-07","34.5","24.700000763","29.299999237","3"
"2020-02-08","33.299999237","23.799999237","27.700000763","0"
"2020-02-09","27.799999237","22.5","24.600000381","0.5"
"2020-02-10","28.899999619","17.100000381","22.899999619","0"
"2020-02-11","29.899999619","15.600000381","22.700000763","0"
"2020-02-12","31.399999619","18.299999237","24.700000763","0"
"2020-02-13","36","21.799999237","28.200000763","0.200000003"
"2020-02-14","30.5","25","26.700000763","10"
"2020-02-15","31.600000381","24","26.100000381","0"
"2020-02-16","33.599998474","25","28.899999619","7"
"2020-02-17","33.400001526","22.200000763","27.100000381","100"
"2020-02-18","29.700000763","19.799999237","22.200000763","0.5"
"2020-02-19","29","16","22.700000763","0"
"2020-02-20","29.299999237","20.100000381","23.799999237","0"
"2020-02-21","24.5","16.700000763","20.100000381","0"
"2020-02-22","24.5","12.199999809","19","0"
"2020-02-23","27","14.600000381","20.600000381","0"
"2020-02-24","32","15.399999619","24.100000381","0"
"2020-02-25","29.899999619","20.5","23.600000381","0"
"2020-02-26","29.5","14.5","21.600000381","0"
"2020-02-27","30.5","14.600000381","22.799999237","0"
"2020-02-28","32.5","16.799999237","24.200000763","0"
"2020-02-29","32.200000763","17.299999237","24.799999237","0"
"2020-03-01","33.5","18.299999237","25.700000763","0"
"2020-03-02","33","18.100000381","25","0"
"2020-03-03","33.799999237","17.600000381","25.299999237","0"
"2020-03-04","33.200000763","17.799999237","25.5","0"
"2020-03-05","33.200000763","18.600000381","25.799999237","0"
"2020-03-06","31.799999237","17.5","23.700000763","0"
"2020-03-07","33.400001526","17","25.600000381","0"
"2020-03-08","35.099998474","17.899999619","26.799999237","0"
"2020-03-09","36.5","19.200000763","27.600000381","0"
"2020-03-10","38.099998474","21.5","29.700000763","0"
"2020-03-11","37.5","22.399999619","29.799999237","0"
"2020-03-12","37.299999237","22.100000381","28.600000381","0"
"2020-03-13","39.799999237","24.200000763","31.200000763","0"
"2020-03-14","40.5","25.299999237","30.799999237","38"
"2020-03-15","25.299999237","22.200000763","23.600000381","2"
"2020-03-16","27","20.799999237","22.799999237","0"
"2020-03-17","34.5","21.299999237","26.5","2"
"2020-03-18","26.100000381","21.399999619","22.5","0"
"2020-03-19","28.5","16.299999237","21.5","0"
"2020-03-20","27.899999619","15.199999809","21.600000381","0"
"2020-03-21","29.600000381","15.199999809","22.399999619","0"
"2020-03-22","31.700000763","15.300000191","23.5","0"
"2020-03-23","35","17.100000381","26","0"
"2020-03-24","35.900001526","22.399999619","27.700000763","0"
"2020-03-25","34.200000763","20.600000381","26.200000763","0"
"2020-03-26","28.799999237","20.899999619","23.600000381","3"
"2020-03-27","25.299999237","20","22","3"
"2020-03-28","26.399999619","20.600000381","22.399999619","0"
"2020-03-29","29.600000381","18.799999237","23.200000763","0"
"2020-03-30","31.5","18","24.799999237","0"
"2020-03-31","26.200000763","21.299999237","23.200000763","0.8000000119"
"2020-04-01","33.599998474","22.399999619","26","64"
"2020-04-02","24.5","16.799999237","21.200000763","0"
"2020-04-03","23.5","11.699999809","17.399999619","0"
"2020-04-04","27.299999237","12.100000381","19.700000763","0"
"2020-04-05","27.399999619","15.899999619","21.899999619","1"
"2020-04-06","28.5","17.299999237","22.299999237","0"
"2020-04-07","22","9.1999998093","16","0"
"2020-04-08","21.5","8.3000001907","15","0"
"2020-04-09","22.700000763","8.3999996185","15.899999619","0"
"2020-04-10","24.100000381","9.8000001907","16.899999619","0"
