"FECHA","TMAX","TMIN","TMED","PRECIP"
"2020-01-01","28.399999619","18.5","23.5","0"
"2020-01-02","28","19","22.899999619","0"
"2020-01-03","29.200000763","19.899999619","24.5","0"
"2020-01-04","30.299999237","18","24.299999237","0"
"2020-01-05","31.200000763","18.399999619","25.600000381","8"
"2020-01-06","27.299999237","16.700000763","20.600000381","0"
"2020-01-07","30","10","21.299999237","0"
"2020-01-08","33.400001526","14.699999809","24.700000763","17"
"2020-01-09","29.799999237","19.700000763","24.200000763","2"
"2020-01-10","31.600000381","19.700000763","24.700000763","0"
"2020-01-11","31.799999237","18","25.799999237","0"
"2020-01-12","31.899999619","21.600000381","27.100000381","0"
"2020-01-13","34.099998474","20.100000381","27.399999619","0"
"2020-01-14","31.899999619","22.299999237","26.799999237","46"
"2020-01-15","29.700000763","20.399999619","24.100000381","3"
"2020-01-16","26.700000763","13.399999619","20.899999619","0"
"2020-01-17","27.5","14","21.5","0"
"2020-01-18","29.799999237","16.600000381","23.700000763","0"
"2020-01-19","34.400001526","21.700000763","28.100000381","0"
"2020-01-20","31.5","24.600000381","27.799999237","0.1000000015"
"2020-01-21","29.700000763","22.299999237","25.299999237","0"
"2020-01-22","31.399999619","20.5","25.200000763","0"
"2020-01-23","31.799999237","21.799999237","26.299999237","0"
"2020-01-24","33.299999237","18.399999619","25.5","0"
"2020-01-25","35.5","20.299999237","28","0"
"2020-01-26","33.5","19.100000381","26.100000381","0"
"2020-01-27","28.299999237","13.899999619","21.799999237","0"
"2020-01-28","32.299999237","15","23.399999619","0.3000000119"
"2020-01-29","25.799999237","20.100000381","22.200000763",\N
"2020-01-30","27.600000381","10.100000381",\N,\N
"2020-01-31","29.600000381","8.6000003815",\N,\N
"2020-02-01","32","13.199999809","24.5","0"
"2020-02-02","34","15.899999619","26.799999237","0"
"2020-02-03","35.700000763","20.200000763","28.700000763","0"
"2020-02-04","36.200000763","21.399999619","28.700000763","0.8000000119"
"2020-02-05","30.299999237","21.600000381","24.899999619","0.5"
"2020-02-06","33","20.399999619","26.799999237","0"
"2020-02-07","31.899999619","23.299999237","26.200000763","0"
"2020-02-08","29.5","22.899999619","25.899999619","0"
"2020-02-09","27.799999237","17.5","22.399999619","0"
"2020-02-10","26.600000381","13.899999619","21.100000381","0"
"2020-02-11","29.899999619","16.200000763","22.899999619","0"
"2020-02-12","31.299999237","17.200000763","23.899999619","0"
"2020-02-13","34","19.5","26.600000381","0"
"2020-02-14","32.900001526","21.899999619","26.5","0"
"2020-02-15","34.5","17.200000763","26.600000381","0"
"2020-02-16","34.700000763","19.5","26.200000763","6"
"2020-02-17","33.200000763","20.200000763","25.299999237","61"
"2020-02-18","26.600000381","15.899999619","20.700000763","0"
"2020-02-19","29.299999237","9","20.299999237","0"
"2020-02-20","25.299999237","15.899999619","20","0"
"2020-02-21","23.5","9.8000001907","17.399999619","0"
"2020-02-22","25","9.1999998093","17.5","0"
"2020-02-23","27.399999619","12.800000191","20.100000381","0"
"2020-02-24","30.700000763","14.600000381","22.600000381","0"
"2020-02-25","29.799999237","17.100000381","22.399999619","0"
"2020-02-26","28","12.699999809","20.100000381","0"
"2020-02-27","30.5","12","22.399999619","0"
"2020-02-28","32.400001526","12.899999619","23.200000763","0"
"2020-02-29","34","15","24.600000381","0"
"2020-03-01","34.5","16.399999619","25.299999237","0"
"2020-03-02","34.400001526","17.399999619","26.5","0"
"2020-03-03","33.099998474","15.399999619","25.5","0"
"2020-03-04","33.799999237","19.5","27.5","0"
"2020-03-05","33.200000763","17.700000763","25.600000381","0"
"2020-03-06","33","19.299999237","25.799999237","0"
"2020-03-07","33.200000763","15.600000381","24.799999237","0"
"2020-03-08","35.900001526","18.200000763","26.799999237","0"
"2020-03-09","35.799999237","19.299999237","27.100000381","0"
"2020-03-10","32.900001526","20.700000763","25.700000763","0"
"2020-03-11","27.899999619","20.100000381","22.899999619","5"
"2020-03-12","31.700000763","17.899999619","25.100000381","0"
"2020-03-13","36.5","22.399999619","28.200000763","0"
"2020-03-14","29.100000381","21.600000381","24.700000763","16"
"2020-03-15","21.600000381","14.300000191","17.600000381","2"
"2020-03-16","26.899999619","15.5","20.600000381","0"
"2020-03-17","22.899999619","16.200000763","19.799999237","59"
