"FECHA","TMAX","TMIN","TMED","PRECIP"
"2020-01-01","30.5","19.5","24.799999237","0"
"2020-01-02","29.799999237","18","23.5","0"
"2020-01-03","30.5","17.5","23.399999619","0"
"2020-01-04","32","17.200000763","24.299999237","0"
"2020-01-05","33","16.799999237","25.700000763","0.200000003"
"2020-01-06","28.200000763","17.299999237","21.600000381","0"
"2020-01-07","32.5","11.699999809","22.700000763","0"
"2020-01-08","34.900001526","14.600000381","26.5","0"
"2020-01-09","34.099998474","21.700000763","26.399999619","80"
"2020-01-10","27.899999619","20.299999237","23","4"
"2020-01-11","32.200000763","21","26.299999237","0"
"2020-01-12","32.799999237","22.100000381","25.200000763","0"
"2020-01-13","35","21.200000763","27.399999619","1"
"2020-01-14","36","24.299999237","29.799999237","0"
"2020-01-15","32","23","26.399999619","0.5"
"2020-01-16","28","14.5","21.700000763","0"
"2020-01-17","28.899999619","14.399999619","21.700000763","0"
"2020-01-18","31.600000381","15.399999619","23.799999237","0"
"2020-01-19","35","22","28.600000381","134"
"2020-01-20","29","22.5","24.299999237","12"
"2020-01-21","31.299999237","22.399999619","25.600000381","0"
"2020-01-22","30.899999619","21","25.299999237","0"
"2020-01-23","32","20.5","25.899999619","0"
"2020-01-24","32.5","18.700000763","25.799999237","0"
"2020-01-25","35.299999237","21","27.399999619","0"
"2020-01-26","35.200000763","19","27.5","0"
"2020-01-27","30.799999237","20.100000381","24.700000763","0"
"2020-01-28","32.599998474","15.399999619","24.700000763","0"
"2020-01-29","26.299999237","20","22.200000763","7"
"2020-01-30","27.200000763","17.299999237","20.799999237","0"
"2020-01-31","30.100000381","10.699999809","21.399999619","0"
"2020-02-01","32.400001526","15.800000191","24.600000381",\N
"2020-02-02","34",\N,"26","0"
"2020-02-03","35.5","18.799999237","26.899999619","0"
"2020-02-04","37","20.100000381","29.299999237","0"
"2020-02-05","30","19.299999237","23.399999619","40"
"2020-02-06","29.5","20.299999237","24","0"
"2020-02-07","33","22.600000381","27.100000381","0"
"2020-02-08","31.5","22.100000381","26.299999237","0"
"2020-02-09","26.600000381","19","22.600000381","0"
"2020-02-10","27.5","14.5","20.899999619","0"
"2020-02-11","30.200000763","14.199999809","21.700000763","0"
"2020-02-12","31.799999237","15","23.299999237","0"
"2020-02-13","35.299999237","17.899999619","26.200000763","11"
"2020-02-14","31.600000381","21.799999237","26.100000381","0"
"2020-02-15","34","21","27.299999237","0"
"2020-02-16","33","22.200000763","26.200000763","4"
"2020-02-17","33","22","27.200000763","31"
"2020-02-18","29.200000763","17","21.100000381","0"
"2020-02-19","29.700000763","12","21.299999237","0"
"2020-02-20","26.700000763","17.399999619","21","0"
"2020-02-21","25","12.5","18.600000381","0"
"2020-02-22","25.799999237","9.6000003815","18","0"
"2020-02-23","28","11.399999619","20.100000381","0"
"2020-02-24","31.5","13.600000381","22.600000381","0"
"2020-02-25","25.5","18.399999619","20.600000381","2"
"2020-02-26","29","13.399999619","21.100000381","0"
"2020-02-27","31.299999237","11.699999809","21.700000763","0"
"2020-02-28","33.5","15.899999619","24.100000381","0"
"2020-02-29","33.700000763","15.800000191","24.5","0"
"2020-03-01","34.5","16","25","0"
"2020-03-02","34","16","24.5","0"
"2020-03-03","34.5","15.5","24","0"
"2020-03-04","34","17.100000381","24.799999237","0"
"2020-03-05","34.700000763","16.299999237","25.200000763","0"
"2020-03-06","32.299999237","16.5","24.200000763","0"
"2020-03-07","34.5","14.800000191","24.399999619","0"
"2020-03-08","36","18","26.5","0"
"2020-03-09","37","19.700000763","26.799999237","0"
"2020-03-10","35.400001526","20.200000763","26.899999619","0"
"2020-03-11","37.200000763","22.100000381","27.799999237","0"
"2020-03-12","30.200000763","20.600000381","25.5","0"
"2020-03-13","37.5","23.299999237","29.600000381","0"
"2020-03-14","37","24","27.399999619","0.5"
"2020-03-15","24.299999237","18.299999237","20.700000763","10"
"2020-03-16","29.600000381","18.299999237","22.600000381","0"
"2020-03-17","28","18.799999237","21.100000381","78"
"2020-03-18","27","17","20.299999237","0"
"2020-03-19","29","13.699999809","20.899999619","0"
"2020-03-20","30.399999619","12.5","21.399999619","0"
"2020-03-21","29.799999237","13.5","20.899999619","0"
"2020-03-22","31","15.300000191","21.799999237","0"
"2020-03-23","33","15.600000381","23.299999237","0"
"2020-03-24","35.5","19.399999619","26","0"
"2020-03-25","30.200000763","19.899999619","24.600000381","0"
"2020-03-26","24.899999619","20.799999237","22.200000763","12"
"2020-03-27","21.600000381","18","18.899999619","11"
"2020-03-28","26.5","18.799999237","21.5","0"
"2020-03-29","30.5","18.299999237","22.600000381","0"
"2020-03-30","31","17.5","23.899999619","0"
"2020-03-31","29.799999237","21.700000763","24.700000763","0"
"2020-04-01","28.5","21.600000381","22.600000381","39"
"2020-04-02","24.799999237","14.699999809","19.200000763","0"
"2020-04-03","25","9.3000001907","16.299999237","0"
"2020-04-04","27","11","18.200000763","0"
"2020-04-05","29","12.100000381","19.5","0"
"2020-04-06","24.5","14.199999809","19","0"
"2020-04-07","21.600000381","6.3000001907","13.800000191","0"
"2020-04-08","22.299999237","9.6999998093","15.199999809","0"
"2020-04-09","24","8.1999998093","15.300000191","0"
"2020-04-10","25","8.1000003815","15.600000381","0"
"2020-04-11","26","8.5","16.899999619","0"
"2020-04-12","27","11","18.299999237","10"
"2020-04-13","21","14.399999619","16.899999619","0.3000000119"
"2020-04-14","23.799999237","8.1999998093","15.100000381","0"
"2020-04-15","24.899999619","7","16.100000381","0"
"2020-04-16","26","8.6999998093","16.600000381","0"
"2020-04-17","27","8.3000001907","17.100000381","0"
"2020-04-18","27.799999237","9","17.399999619","0"
"2020-04-19","29.799999237","12","19.200000763","0"
"2020-04-20","32","12.100000381","21","0"
"2020-04-21","31","13.899999619","21.600000381","0"
"2020-04-22","31","14.300000191","21.600000381","0"
"2020-04-23","30.299999237","16","22.299999237","0"
"2020-04-24","34.599998474","20.100000381","25.799999237","0"
"2020-04-25","28.299999237","18.200000763","21","2"
"2020-04-26","22.5","17.200000763","19","2"
"2020-04-27","22","18.399999619","19.799999237","29"
"2020-04-28","23.5","15","19.5","0.200000003"
"2020-04-29","24.299999237","8.5","15.699999809","0"
"2020-04-30","25","13.100000381","18.299999237","0"
"2020-05-01","26.5","10.699999809","18.100000381","0"
"2020-05-02","23.5","9.6000003815","15.699999809","0"
"2020-05-03","21.799999237","12.5","17","0"
"2020-05-04","22.700000763","15","18","0.8000000119"
"2020-05-05","19.5","10.699999809","14.699999809","0"
"2020-05-06","18","4.5999999046","10.399999619","0"
"2020-05-07","20.600000381","2.7000000477","10.899999619","0"
"2020-05-08","22","6.3000001907","12.5","0"
"2020-05-09","25.600000381","8","15.899999619","0"
"2020-05-10","29.600000381","11.699999809","19.600000381","0"
"2020-05-11","23.899999619","13.300000191","17.600000381","0"
"2020-05-12","22.5","13","16.899999619","0"
"2020-05-13","22.5","6.9000000954","13.899999619","0"
"2020-05-14","22.5","2.5","10.899999619","0"
"2020-05-15","24.799999237","7.5","15","0"
"2020-05-16","29","11","18.100000381","0"
"2020-05-17","29.399999619","10.199999809","18","0"
"2020-05-18","28.399999619","8.6999998093","17.600000381","0"
"2020-05-19","28.799999237","12.199999809","19.200000763","0"
"2020-05-20","30.5","14.5","20.799999237","0"
"2020-05-21","19","12","13","9"
"2020-05-22","13.5","8.6000003815","10.600000381","0"
"2020-05-23","16.700000763","2.9000000954","8.8000001907","0"
"2020-05-24","21","2.7000000477","10.399999619","0"
"2020-05-25","22","8.3999996185","12.899999619","0"
"2020-05-26","23","3.7000000477","11.800000191","0"
"2020-05-27","25","5.6999998093","13.899999619","0"
"2020-05-28","26.399999619","6.5","15.100000381","0"
"2020-05-29","28.5","7.5","16.600000381","0"
"2020-05-30","16.200000763","9.1999998093","11.300000191",\N
"2020-05-31","16.799999237","6.5999999046","9.5","0"
"2020-06-01","16.200000763","-0.600000024","6.9000000954","0"
"2020-06-02","18.700000763","-0.300000012","7.5","0"
"2020-06-03","19.100000381","1.6000000238","9.8000001907","0"
"2020-06-04","18.5","3.7000000477","10.399999619","8"
"2020-06-05","13","8.6999998093","10.800000191","5"
"2020-06-06","18.700000763","7.8000001907","11.699999809","0"
"2020-06-07","19.5","4.5999999046","10.5","0"
"2020-06-08","23.399999619","4.3000001907","12","0"
"2020-06-09","22.399999619","5.5","12.300000191","0"
"2020-06-10","24","6.4000000954","13.5","0"
"2020-06-11","22","5.6999998093","13.300000191","0"
"2020-06-12","22.200000763","9.3999996185","15.5","0"
"2020-06-13","16.200000763","3","8.5","0"
"2020-06-14","17.299999237","-2","6.5","0"
"2020-06-15","19.5","5.9000000954","12.399999619","0"
"2020-06-16","27","12","19.700000763","0"
"2020-06-17","28","18.5","22.100000381","0"
"2020-06-18","19.600000381","7.5","12.300000191","0"
"2020-06-19","25.5","6.4000000954","14.199999809","0"
"2020-06-20","20","8.3000001907","13.100000381","0"
"2020-06-21","21","11.199999809","14.600000381","0"
"2020-06-22","18.200000763","5.6999998093","12.699999809","0"
"2020-06-23","17.799999237","12.899999619","15.300000191","0.1000000015"
"2020-06-24","13.399999619","11.5","12.300000191","0"
"2020-06-25","15.199999809","3.4000000954","7.6999998093","0"
"2020-06-26","15","0","7.4000000954","0"
"2020-06-27","17.899999619","0","7.3000001907","0"
"2020-06-28","18.5","2","7.9000000954","0"
"2020-06-29","18.5","5.5","10.800000191","0"
"2020-06-30","15.800000191","9.6999998093","12.100000381","0"
"2020-07-01","11.5","4","8.1999998093","0"
"2020-07-02","17","1.6000000238","8.1999998093","0"
"2020-07-03","19.5","3","9.5","0"
"2020-07-04","22.299999237","4.5","10.899999619","0"
"2020-07-05","16.799999237","5.1999998093","9.1000003815","0"
