"FECHA","TMAX","TMIN","TMED","PRECIP"
"2020-01-01","27.100000381","17.5","22.600000381","0"
"2020-01-02","27.5","16.100000381","23.299999237","0"
"2020-01-03","28.899999619","17.5","24.100000381","0"
"2020-01-04","29","16.100000381","24.799999237","0"
"2020-01-05","30","18","24","9"
"2020-01-06","24.5","15.5","20.399999619","0"
"2020-01-07","29.299999237","12.5","22.799999237","0"
"2020-01-08",\N,"15.5",\N,"5"
"2020-01-09","28.600000381","19.5","24.700000763","0"
"2020-01-10","29.5","18.799999237","25.200000763","0"
"2020-01-11","30.5","16.899999619","27.200000763","0"
"2020-01-12","28.5","21","23.799999237","0"
"2020-01-13","31.5","18","26.200000763","0.400000006"
"2020-01-14","31.100000381","20.600000381","26.100000381","124"
"2020-01-15","27.100000381","19.200000763","21.700000763","3"
"2020-01-16","26.899999619","12.5","21.299999237","0"
"2020-01-17","26","14.699999809","21.799999237","0"
"2020-01-18","28.200000763","14.5","23.700000763","0"
"2020-01-19","32.5","16.899999619","27.5","0"
"2020-01-20",\N,"23.5",\N,"4"
"2020-01-21","29","19.799999237","24.299999237","0"
"2020-01-22","28.899999619","20","25","0"
"2020-01-23","30.799999237","20.5","26.200000763","0"
"2020-01-24","32","18.600000381","27.100000381","0"
"2020-01-25","33.5","19.5","28.299999237","0"
"2020-01-26","33","18.100000381","27.600000381","0"
"2020-01-27","26.799999237","13.100000381","19.799999237","0"
"2020-01-28","30","13","24.299999237","18"
"2020-01-29","25","18","21.200000763","0"
"2020-01-30","26.200000763","11","20.299999237","0"
"2020-01-31","27.799999237","12","22.200000763","0"
"2020-02-01","30","13.800000191",\N,"0"
"2020-02-02","32","16.200000763","26.600000381","0"
"2020-02-03","33.900001526","19.5","27.600000381","0"
"2020-02-04","34","19.200000763","28.600000381","79"
"2020-02-05","28.200000763","18.700000763","22.899999619","15"
"2020-02-06","29","18.399999619","24.899999619","0"
"2020-02-07","25.5","22.5","23.600000381","7"
"2020-02-08","27","21.5","23.600000381","0"
"2020-02-09","24","15.600000381","19.799999237","0"
"2020-02-10","25","12.899999619","19.899999619","0"
"2020-02-11","26.5","13","21.799999237","0"
"2020-02-12","28.5","16.200000763","23.700000763","0"
"2020-02-13","30.299999237","18","25.299999237","0"
"2020-02-14","28.100000381","18.5","23.600000381","0"
"2020-02-15","32","15.5","26.399999619","0"
"2020-02-16","31.100000381","20.600000381","26.399999619","0"
"2020-02-17","32","19.899999619","21.299999237","61"
"2020-02-18","25.399999619","13.5","20.100000381","0"
"2020-02-19","28","12.399999619","22.600000381","0"
"2020-02-20","23","13.5","17.700000763","0"
"2020-02-21","22","9.5","17.200000763","0"
"2020-02-22","23.799999237","9.6999998093","17.799999237","0"
